Product ID,Product Name,Description,Image File,Alternative Text,Creation Date,Update Date
1,Quokka Fur Brush,grooming,,A comb or something,2023-10-01 13:12:58.000000,2023-10-01 13:12:58.000000
2,Life-sized quokka cut out,entertainment,,a smiling paper quokka,2023-10-26 13:12:58.000000,2023-10-26 13:12:58.000000
3,A portrait of a chivalrous quokka,art,,This dashing quokka is dressed as a knight,2023-10-27 13:12:58.000000,2023-10-27 13:12:58.000000
4,Grass bundle,food,,A bundle of grass,2023-10-28 13:59:59.000000,2023-10-28 13:59:59.000000
5,Stick bundle,tool,,a bundle of sticks,2023-10-29 13:59:59.000000,2023-10-29 13:59:59.000000
6,Quokka onesie,clothing,,a pajama suit for quokkas,2023-10-30 13:59:59.000000,2023-10-30 13:59:59.000000
7,The King Quokka's Bible,Books,,The King James Bible for Quokkas,2023-10-31 13:59:59.000000,2023-10-31 13:59:59.000000
8,Quokkaleon painting, art,," Famous painting ""Napoleon Crossing"" but Napoleon is a quokka",2023-10-31 13:59:59.000000,2023-10-31 13:59:59.000000
9,Quokkassant,pastry,,a crossaint in the shape of a quokka,2023-11-01 13:59:58.000000,2023-11-01 13:59:59.000000
10,Quokka-safe blender, technology,,A furry blender that resembles a happy quokka intended for quokkas to blend their daily meals,2023-11-01 13:59:59.000000,2023-11-01 13:59:59.000000
11,Quokkachino,A cozy hoodie with a quokka's face on the hood,,A picture of a quokkachino,2023-11-01 19:44:33.400425,2023-11-02 13:35:44.555385
12,Quokka Breeze Fan,Stay cool with this fan featuring quokka designs,,A picture of a quokka breeze fan,2023-11-01 23:38:07.185265,2023-11-02 08:35:40.005309
13,Quokkapresso Machine,Brew your espresso in style with this quokka-themed machine,,A picture of a quokkapresso machine,2023-11-02 07:05:53.358658,2023-11-02 19:47:09.456747
14,Quokka Slumber Sleeping Bag,Sleep snug as a quokka in this cozy sleeping bag,,A picture of a quokka slumber sleeping bag,2023-11-02 08:09:04.531560,2023-11-02 22:48:15.783790
15,Quokka Toasty Maker,A sandwich maker that imprints a quokka’s face onto your toasties,,A picture of a quokka toasty maker,2023-11-02 09:03:56.283274,2023-11-02 22:35:31.942231
16,Quokkacino Mug,Sip your favorite beverages with a smile with this quokka-themed mug,,A picture of a quokkacino mug,2023-11-02 11:42:56.089074,2023-11-02 17:37:59.344704
17,Quokka Hug Pillow,A pillow shaped like a quokka for the sweetest dreams,,A picture of a quokka hug pillow,2023-11-02 12:12:44.594333,2023-11-02 20:16:04.883620
18,Quokka Bento Box,"A lunch box with separate compartments, all featuring quokkas",,A picture of a quokka bento box,2023-11-02 13:32:26.580743,2023-11-03 05:18:34.051314
19,Quokka Light Lamp,A lamp with a base shaped like a quokka,,A picture of a quokka light lamp,2023-11-02 14:45:35.798743,2023-11-03 06:37:21.476272
20,Quokka Leaf Tea,"A soothing tea blend, complete with a quokka-shaped tea bag",,A picture of a quokka leaf tea,2023-11-02 15:58:41.340216,2023-11-03 06:07:03.473618
21,Quokka Brew Coffee Beans,Premium coffee beans with a touch of quokka cheer,,A picture of a quokka brew coffee beans,2023-11-02 19:00:43.715674,2023-11-03 16:48:21.323126
22,Quokka Pancake Pan,Make pancakes with a cute quokka face on them,,A picture of a quokka pancake pan,2023-11-02 20:57:14.463881,2023-11-03 05:31:57.154575
23,Quokkarita Glass,A margarita glass with an adorable quokka etched onto it,,A picture of a quokkarita glass,2023-11-02 22:13:02.488169,2023-11-03 15:46:50.281093
24,Quokka Sip Water Bottle,Stay hydrated and happy with this quokka water bottle,,A picture of a quokka sip water bottle,2023-11-02 22:15:09.799078,2023-11-03 02:48:40.650356
